imgs,pred
0.jpg,aeroplane
1.jpg,sofa
2.jpg,bus
3.jpg,car
4.jpg,train
5.jpg,diningtable
6.jpg,aeroplane
7.jpg,train
8.jpg,sofa
9.jpg,bicycle
10.jpg,table
11.jpg,aeroplane
12.jpg,train
13.jpg,diningtable
14.jpg,aeroplane
15.jpg,car
16.jpg,table
17.jpg,bicycle
18.jpg,table
19.jpg,boat
20.jpg,aeroplane
21.jpg,bus
22.jpg,car
23.jpg,bus
24.jpg,car
25.jpg,bicycle
26.jpg,diningtable
27.jpg,chair
28.jpg,aeroplane
29.jpg,aeroplane
30.jpg,bicycle
31.jpg,chair
32.jpg,bus
33.jpg,motorbike
34.jpg,chair
35.jpg,bicycle
36.jpg,bicycle
37.jpg,motorbike
38.jpg,bus
39.jpg,sofa
40.jpg,bicycle
41.jpg,table
42.jpg,sofa
43.jpg,sofa
44.jpg,motorbike
45.jpg,train
46.jpg,table
47.jpg,car
48.jpg,motorbike
49.jpg,bus
50.jpg,bus
51.jpg,table
52.jpg,train
53.jpg,sofa
54.jpg,car
55.jpg,bus
56.jpg,boat
57.jpg,motorbike
58.jpg,motorbike
59.jpg,table
60.jpg,chair
61.jpg,boat
62.jpg,car
63.jpg,car
64.jpg,train
65.jpg,car
66.jpg,train
67.jpg,boat
68.jpg,table
69.jpg,chair
70.jpg,chair
71.jpg,aeroplane
72.jpg,bicycle
73.jpg,aeroplane
74.jpg,aeroplane
75.jpg,bicycle
76.jpg,sofa
77.jpg,car
78.jpg,car
79.jpg,car
80.jpg,car
81.jpg,aeroplane
82.jpg,motorbike
83.jpg,aeroplane
84.jpg,sofa
85.jpg,diningtable
86.jpg,bicycle
87.jpg,bus
88.jpg,car
89.jpg,aeroplane
90.jpg,table
91.jpg,motorbike
92.jpg,bus
93.jpg,table
94.jpg,car
95.jpg,bus
96.jpg,table
97.jpg,diningtable
98.jpg,motorbike
99.jpg,sofa
100.jpg,motorbike
101.jpg,aeroplane
102.jpg,boat
103.jpg,aeroplane
104.jpg,bicycle
105.jpg,train
106.jpg,sofa
107.jpg,chair
108.jpg,table
109.jpg,aeroplane
